,,,,,
日付,2026/02/20,,,,
,目標,日別,合計,目標進捗,推定着地
着金売上,"¥400,000,000","¥28,791,020","¥141,791,178",35%,"¥198,507,649"
集客数,"40,000",581,"12,893",32%,"18,050"
